Name,Website,Products/services,id_p,Location,Year Established,Pricing, Type of property,ID,Regions ,id_r,Market Share,number of customers,Number of properties,Number of hosts/landlord,Number of active lisiting,Number of Monthly visitors,Social Media Presence,,Trustpilot - customer reviews ,total no of reviews,Marketing Strategy,Technology Used,Tenant Legal Help center,Property Managament Service,Strengths,Weaknesses,Blog
Airbnb,https://www.airbnb.ca,"Vacation Rental,Short-Term Rental,Long-Term Rental","1,2,3","United States, California, San Francisco",2007,service fee,"House,SharedRooms,PrivateRooms,Condos","17,37,30,7",Global,1,30.19%,150000000,7700000,5000000,8000000,150000000,"Facebook, Twitter, Instagram","1,2,3",1.3/5,13781,"User Generated Content, Experiential Marketing, Brand Positioning as a ""Home Away from Home""","HTML5, jQuery,  Google Analytics",Yes,No,Ease and security of payment ,Lack of quality control for hosts,https://news.airbnb.com/
vrbo,https://www.vrbo.com,Vacation Rental,1,"United States, Texas, Austin",1995,service fee,"Apartments,Cottages,Cabins,BeachHouses,Villas,Condos,Luxuryvacationhomes,Treehouses,Houseboats","1,8,4,3,48,7,24,44,18",Global,1,0.92%,"48,000,000",2000000,"2,000,000",2000000,34456504,"Facebook, Instagram, Linkedin, Pinterest, Twitter, Youtube","1,3,4,7,2,6",1.3/5,117169,"Family and Group Travel Focus, Host- Centric Marketing, Partnerships with Traditional Travel Agencies"," HTML5, Google Analytics, and GoDaddy,",Yes,No,One Key Rewards Program,Limited Inner City Options,https://www.vrbo.com/media-center/
Booking.com,https://www.booking.com/apartments,Vacation Rental,1,"Netherlands, Amsterdam",1996,service fee,"Hotel,motels,Homes,Apartments,Resorts,Villas,Hostels,GuestHouses","15,26,12,1,33,48,14,10",Global,1,5.14%,"900,000,000",3400000,29279209,7800000,603761724,"Facebook, Instagram, Twitter, Youtube","1,3,2,6",2.2/5,72513,"Affiliate Program, Aggresive Pay-per-Click(PPC) Advertising, Instant Confirmation and Book Now, Pay Later","Google Adsense, Google Analytics, Google+ Platform, Visa",No,No,"A loyalty program offering discounts and perks for frequent users of Booking.com's services, Instant Booking",Cancellation Policy,https://blog.booking.com/
Liv,https://liv.rent,Short-Term Rental,2,"Vancouver, British Columbia, Canada",2024,subscription,"Apartments,condos,Houses","1,7,19",Canada,3,,,29000,"`14,000",7000,530876,"Twitter, Instagram, Facebook","2,3,1",,,"Automated Multi-Platform Listing Distribution, Sponsored Listings for Enhanced Visibility","Google Adsense, Google analytics, Visa,Facebook Social Plugins",No,No,"Digital Lease Management, Affordable Pricing","Limited Maintenance and Accounting Tools, Geographic Focus",https://liv.rent/blog/
Zillow,https://www.zillow.com,Long-Term Rental,3,"United States, Washington, Seattle",2005,subscription,"Apartments,VacationHomes,LuxuryHomes,Condos,commercialproperties","1,46,22,7,6",North America,2,36.39%,15000,3500,8000,2800000,30000,"Facebook, Instagram, Tiktok","1,3,5",1.4/5,398,"Zestimate(Zillow's Home Valuation Tool), Zillow Offers(iBuying Program)"," HTML5, Google Attribution, and Google Fonts, Domain Not Resolving, SSL by Default, and HSTS.",No,No,"Comprehensive Listings, User-Friendly Interface,Agent and Service Connections","Outdated Listings, Limited Customer Support",https://www.zillow.com/agent-resources/blog/
RentCafe,https://www.rentcafe.com,Long-Term Rental,3,"Santa Barbara, California, United States",2024,free,"Apartments,House","1,17",North America,2,2.88%,,29000000,,1000000,7700000,"Facebook, Instagram","1,3",,,"integrated property management platform, SEO, Resident- Focused Features"," HTML5, Cloudflare CDN, and Marketing Consulting, IPhone / Mobile Compatible, Viewport Meta, and SSL by Default.",No,Yes,"Renter Tools like  Rent Affordability Calculator and Cost of Living Calculator, Comprehensive Features","Slow Customer Support, Lagging Performance",https://www.rentcafe.com/blog/
HomeToGo,https://www.hometogo.com/,Vacation Rental,1,"Berlin, Germany",2014,subscription,"Cottages,Cabins,BeachHouses,Villas,Condos,LuxuryVacationHomes","8,4,3,48,7,24",Global,1,,,18000000,300,15000000,26000000,"Linked in, Facebook, Twitter,TikTok","4,1,2,5",3.4/5,1145,"Meta-Search Aggregator Model, Price transparency and Discounts, Localized Marketing and Language Customization"," HTML5, Google Maps API, and Matomo (Formerly Piwik), IPhone / Mobile Compatible, Viewport Meta, and SSL by Default.",Yes,No,"Wide Aggregation of Listings, user friendly interface","Price Inconsistencies,  Cancellation and Refund Issues, Property Discrepancies",
Kijiji,http://www.kijiji.ca/,"Short-Term Rental,Long-Term Rental","2,3","Toronto, Ontario, Canada",2005,free,"apartments,condos,houses,townhomes","1,7,19,42",Canada,3,14%,"16,000,000",200000,,11941,17000000,"Facebook,Instagram, Twitter, Youtube","1,3,2,6",1.5/5,47,"Localized Advertising, Freemium Model with Paid Ad Features,Category Diversification"," IPhone / Mobile Compatible, Viewport Meta, and Content Delivery Network.",No,No,"Longer Ad Duration, user friendly interface, Reposting Convenience","Advertisements and Email Spam,  Limited Global Reach",https://www.kijiji.ca/kijijicentral/
Market Place,https://www.facebook.com/marketplace/,"Short-Term Rental,Long-Term Rental","2,3","Menlo Park, California,United States",2016,free with shipping fees,"Residentialrentalsincludingsingle-familyhomes,apartments,sharedrooms,sublets","32,1,37,41",North America,2,51.19%,"300,000,000",250000000,,495700000,1000000000,Facebook,1,,,"Two-sided Marketing, Network Effects, Viral Growth","google analytics,google adsense, DoubleClick",No,No,"Wide User Base,  No Listing Fees,  Convenient Communication","No Buyer/Seller Protection, Lack of Payment/Shipping Integration, Inconsistent Quality of Listings",
Nestoria,https://www.lifullconnect.com/brands/nestoria/,Long-Term Rental,3,"London, England, United Kingdom",2006,free,"Residentialproperties,apartments,houses,condos","31,1,19,7",Global,1,,"19,000,000",10000000,,10000000,19000000,"Facebook, Instagram, Twitter,","1,3,2",,,"SEO, Affiliate Partnerships, Data Aggregation & Integration"," HTML5, Apache Server, and Google Analytics,  SPF, Domain Not Resolving, and Amazon.",Yes,No,"Wide Property Listings, Localization","No Direct Transactions, Lack of In-Depth Data",
